index,charName,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
1,나,,따뜻한 느낌이 드네요,null,right,,stage1_bgm,pause_in_game,배경 화면은 일시적으로 멈춘 게임 화면으로 대체
2,나,,이건 뭐죠?,,right,,stage1_bgm,pause_in_game,
3,구미호,fox_angry,으으… 여전히 이건 적응이 안 돼.,,left,,stage1_bgm,pause_in_game,
4,구미호,fox_normal,기분 나빠…,,left,,stage1_bgm,pause_in_game,
5,나,,그래요?,,right,,stage1_bgm,pause_in_game,
6,나,,전 기분 좋은데. 이게 뭐 길래.,,right,,stage1_bgm,pause_in_game,
7,구미호,fox_normal,온정.,,left,,stage1_bgm,pause_in_game,
8,구미호,fox_normal,원래는 인간만이 가지고 있는 거지만.,,left,,stage1_bgm,pause_in_game,
9,구미호,fox_normal,애초에 요괴도 인간의 혼령이 변화한 것이니…,,left,,stage1_bgm,pause_in_game,
10,구미호,fox_normal,뭐 그래봤자.,,left,,stage1_bgm,pause_in_game,
11,구미호,fox_normal,흔적에 지나지 않지만.,,left,,stage1_bgm,pause_in_game,
12,나,,슬프네요.,,right,,stage1_bgm,pause_in_game,
13,나,,요괴가 인간이었을 적 증거라…,,right,,stage1_bgm,pause_in_game,
14,구미호,fox_normal,역겹지만` 어쨌든 이것도 내 힘이 되지.,,left,,stage1_bgm,pause_in_game,
15,나,,아 기억나요!,,right,,stage1_bgm,pause_in_game,
16,나,,수호령들은 보호받는 인간들의 온정을 받아 강해진다고요.,,right,,stage1_bgm,pause_in_game,
17,구미호,fox_angry,시끄러…,,left,,stage1_bgm,pause_in_game,
18,나,,히익!,,right,,stage1_bgm,pause_in_game,
19,구미호,fox_angry,그딴 소리 다시 하면 재미없을 줄 알아.,,left,,stage1_bgm,pause_in_game,
20,나,,에…옙!,,right,,stage1_bgm,pause_in_game,
