index,charName,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
1,진월,,헥! 헥! 좀 같이 가요!,,left,,peaceful_bgm,forest2,
2,foxName,,너 정말 사냥꾼 맞는 거냐?,,right,,peaceful_bgm,forest2,
3,foxName,fox_normal,내가 아는 사냥꾼은 정말 성가시게 짝이 없던 것들이었는데…,,right,,peaceful_bgm,forest2,
4,foxName,fox_normal,넌 그 놈들과 완전 달라.,,right,,peaceful_bgm,forest2,
5,foxName,fox_normal,꼭 그 녀석처럼…,,right,,peaceful_bgm,forest2,
6,진월,,예? 뭐라고 하셨나요?,,left,,peaceful_bgm,forest2,
7,foxName,fox_angry,계속 이리 굼뜨면 네 간을 먹어버리겠다고 했다.,,right,,peaceful_bgm,forest2,
8,진월,,히익!,,left,,peaceful_bgm,forest2,
9,foxName,fox_normal,농담이야.,,right,,peaceful_bgm,forest2,
10,foxName,fox_normal,우린 간 안 먹어.,,right,,peaceful_bgm,forest2,
11,진월,,하` 하긴요…,,left,,peaceful_bgm,forest2,
12,진월,,구미호 일족은 모두 수호령인데… 사람 간을 먹는 요괴짓을 할 리가…,,left,,peaceful_bgm,forest2,
13,foxName,fox_angry,찌릿-!,,right,,peaceful_bgm,forest2,
14,진월,,히익!,,left,,peaceful_bgm,forest2,
15,foxName,fox_normal,하아… 그래 뭐.,,right,,peaceful_bgm,forest2,
16,foxName,fox_normal,내가 아니라 내 종족이 수호령인 건 사실이니.,,right,,peaceful_bgm,forest2,
17,진월,,그러고보니. 이상하네요.,,left,,peaceful_bgm,forest2,
18,foxName,fox_normal,뭐가?,,right,,peaceful_bgm,forest2,
19,진월,,구미호님은 동족이 없으신가요? 왜 혼자.,,left,,peaceful_bgm,forest2,
20,foxName,fox_normal,우리 일족은 깊은 산속의 신령의 숲에서 혼령으로 살아가.,,right,,peaceful_bgm,forest2,
21,foxName,fox_normal,혼령이다 보니 육신이 없고.,,right,,peaceful_bgm,forest2,
22,foxName,fox_normal,원래라면 현세에 깊이 관여할 수 없어.,,right,,peaceful_bgm,forest2,
23,진월,,그럼 어떻게…?,,left,,peaceful_bgm,forest2,
24,foxName,fox_normal,그래서 모든 수호령들이 몇 혼령에게 힘을 모아줘.,,right,,peaceful_bgm,forest2,
25,foxName,fox_normal,모아진 힘을 통해 육신을 갖춰 현신하는 거지.,,right,,peaceful_bgm,forest2,
26,foxName,fox_normal,그 힘을 담는 게.,,right,,peaceful_bgm,forest2,
27,내레이션,,그녀가 아직 금이 많이 가 있는 혼령구슬을 흔들었다.,,,,peaceful_bgm,forest2,
28,foxName,fox_normal,이거고.,,right,,peaceful_bgm,forest2,
29,내레이션,,갑자기` 그녀가 거칠게 그 혼령 구슬을 거뒀다.,,,,peaceful_bgm,forest2,
30,foxName,fox_normal,제길… 내가 왜 네게 이런 이야길 하는 건지…,,right,,peaceful_bgm,forest2,
31,진월,,전 재밌는 걸요?,,left,,peaceful_bgm,forest2,
32,진월,,(뭐 그렇다면 한 가지 의문이 생기긴 하지만),,left,,peaceful_bgm,forest2,
33,진월,,(왜 저 구슬은 깨진 건지.),,left,,peaceful_bgm,forest2,
34,진월,,(그리고 수호령 분들에게 힘을 받았다면…),,left,,peaceful_bgm,forest2,
35,foxName,fox_normal,뭔가 묻고 싶은 게 많은 표정이네.,,right,,peaceful_bgm,forest2,
36,진월,,(뜨끔),,left,,peaceful_bgm,forest2,
37,foxName,fox_normal,말했을 텐데.,,right,,peaceful_bgm,forest2,
38,foxName,fox_normal,네가 알아야할 건 두 가지뿐이야.,,right,,peaceful_bgm,forest2,
39,foxName,fox_angry,벌써 잊어버린 거냐? 기억나게 해줄까?,,right,,peaceful_bgm,forest2,
40,진월,,아` 아뇨! 저희 사냥꾼 선배들은 모두 착하신 분들이에요!,,left,,peaceful_bgm,forest2,
41,진월,,foxName님... ` 아` 아니` 구미호님처럼 착하신 분을 공격할 리 없어요!,,left,,peaceful_bgm,forest2,
42,진월,,믿어주세요!,,left,,peaceful_bgm,forest2,
43,foxName,fox_normal,흠` 뭐… 내 일에 훼방만 놓지 않는다면.,,right,,peaceful_bgm,forest2,
44,foxName,fox_normal,아무래도 좋아.,,right,,peaceful_bgm,forest2,
45,foxName,fox_normal,스릉,,,,,forest2,
46,내레이션,,갑자기` 그녀가 검을 뽑아들었다.,,,draw,,forest2,일반 스탠딩 일러스트에서 검을 뽑는 일러스트로 변경
47,foxName,fox_normal,,left-right,left,metal2,battle_bgm,forest2,구미호 일러스트가 진월 일러스트보다 더 오른쪽으로 이동(공격을 대신 막는 연출)
48,진월,,우왁!,right-left,right,,battle_bgm,forest2,
49,foxName,fox_normal,제대로 왔네.,,left,,battle_bgm,forest2,
50,요괴들,,저 놈들! 저놈들이다!,,,,battle_bgm,forest2,
51,요괴들,,저놈들이 금강호님을 해쳤다,,,,battle_bgm,forest2,
52,요괴들,,장인님께서 무슨 일이 있어도 잡으라 하셨다! 공격해!,,,,battle_bgm,forest2,
53,foxName,fox_normal,뭐` 적어도 네가 쓸모가 더 생긴다면.,,left,,battle_bgm,forest2,
54,foxName,fox_normal,그땐 궁금증을 풀게 될지 모르지. 노력해봐.,,left,,battle_bgm,forest2,
55,내레이션,,그 말과 함께 그녀가 검으로 달을 그리기 시작했다.,,,,battle_bgm,forest2,
