index,charName,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
1,나,,으아아! 살려줘!,,center,,battle_bgm,forest1,
2,요괴,monster_1,생긴 건 어벙한 게` 발은 빠르구나!,,center,,battle_bgm,forest1,
3,요괴,monster_1,하지만 여기까지다!,,center,,battle_bgm,forest1,
4,요괴,monster_1,크흐흐` 첫 사냥감부터 사냥꾼이라니… 진수성찬이야!,,center,,battle_bgm,forest1,
5,나,,이대로 당할까 보냐!,,center,,battle_bgm,forest1,
6,나,,으아아아아!,,center,,battle_bgm,forest1,
7,sound,effect_sword,,,center,slash,battle_bgm,forest1,진월이 요괴와 맞붙었으나 밀려 뒤로 밀려나는 연출
8,요괴,monster_1,하하! 사냥꾼이란 게 이 정도라니!,,center,,battle_bgm,forest1,
9,요괴,monster_1,확실히 팔마님들 말이 맞았어!,,center,,battle_bgm,forest1,
10,요괴,monster_1,인간들이 전부 우리 먹이가 될 날도 머지 않았군!,,center,,battle_bgm,forest1,
11,나,,크흣!,,center,,battle_bgm,forest1,
12,나,,(제기랄! 나는 왜 이리 한심할까…),,center,,battle_bgm,forest1,
13,나,,(선배 말대로 나는…),,center,,battle_bgm,forest1,
14,요괴,monster_1,자` 그럼 식사를 해볼까!,,center,,battle_bgm,forest1,
15,나,,흐읏!,,center,,battle_bgm,forest1,
16,sound,Vertical_Slash,,,center,slash3,battle_bgm,black,검은 화면에서 하얀 검격이 세로로 가르는 연출
17,요괴,monster_1,커` 커헉! 너` 너는…,,center,,battle_bgm,black,
18,구미호,fox_dark,…꺼져.,,,,battle_bgm,black,
19,요괴,monster_1,크아아…,tremble,center,,battle_bgm,black,
20,나,,아` 가` 감사 합니…,,,,stage1_bgm,forest1,
21,나,,…헉!,,,,stage1_bgm,forest1,달빛 아래 숲의 구미호 전신샷 일러스트
22,내레이션,,하얀 소복에 붉은 저고리 차림.,,,,stage1_bgm,fox1,
23,내레이션,,그건` 평범한 양갓집 규수의 모습이었다만.,,,,stage1_bgm,fox1,
24,내레이션,,달빛색의 머릿결과 무엇보다…,,,,stage1_bgm,fox2,
25,나,,(여우 귀와 꼬리…!),,,,stage1_bgm,fox3,
26,나,,(설마…!),,,,stage1_bgm,fox3,
27,구미호,fox_sword,...,,,draw,stage1_bgm,forest1,검을 겨누는 상황((사운드)
28,내레이션,,여전히 검을 거두지 않은 구미호가 이번엔 나를 향해 검을 겨눈다.,,,,stage1_bgm,forest1,
29,구미호,fox_normal,사냥꾼이군.,,center,,stage1_bgm,forest1,
30,구미호,fox_normal,네놈들은 지겹도록 봐왔지…,,center,,stage1_bgm,forest1,
31,구미호,fox_normal,누가 적인지도 아군인지도 모르는 머저리들.,,center,,stage1_bgm,forest1,
32,나,,아` 아뇨! 아뇨! 모를리가요!,,,,stage1_bgm,forest1,
33,나,,당신은… 구미호잖아요…,,,,stage1_bgm,forest1,
