index,charName,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
1,나,,따뜻한 느낌이 드네요.,,,,stage1_bgm,forestHouse1.png,
2,나,,이건 뭐죠?,,,,stage1_bgm,forestHouse1.png,
3,구미호,fox_angry,으으… 여전히 이건 적응이 안 돼.,,center,,stage1_bgm,forestHouse1.png,
4,구미호,fox_normal,기분 나빠…,,center,,stage1_bgm,forestHouse1.png,
5,나,,그래요?,,,,stage1_bgm,forestHouse1.png,
6,나,,전 기분 좋은데` 이게 뭐길래...?,,,,stage1_bgm,forestHouse1.png,
7,구미호,fox_normal,[온정].,,center,,stage1_bgm,forestHouse1.png,
8,구미호,fox_normal,원래는 인간만이 가지고 있는 거지만.,,center,,stage1_bgm,forestHouse1.png,
9,구미호,fox_normal,애초에 요괴도 인간의 혼령이 변화한 것이니…,,center,,stage1_bgm,forestHouse1.png,
10,구미호,fox_normal,뭐 그래봤자`,,center,,stage1_bgm,forestHouse1.png,
11,구미호,fox_normal,흔적에 지나지 않지만.,,center,,stage1_bgm,forestHouse1.png,
12,나,,슬프네요.,,,,stage1_bgm,forestHouse1.png,
13,나,,요괴가 인간이었을 적 증거라…,,,,stage1_bgm,forestHouse1.png,
14,구미호,fox_normal,역겹지만` 어쨌든 이것도 내 힘이 되지.,,center,,stage1_bgm,forestHouse1.png,
15,나,,아` 기억났어요!,,,,stage1_bgm,forestHouse1.png,
16,나,,수호령들은 보호받는 인간들의 온정을 받아 강해진다고요.,,,,stage1_bgm,forestHouse1.png,
17,구미호,fox_angry,시끄러…,,center,draw,stage1_bgm,forestHouse1.png,
18,나,,히익!,,,,stage1_bgm,forestHouse1.png,
19,구미호,fox_angry,다시는 그딴 말 하지마.,,center,,stage1_bgm,forestHouse1.png,
20,나,,에…옙!,,,,stage1_bgm,forestHouse1.png,
