index,charName,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
1,진월,,자` 잠깐만요!,,,,stage2_bgm,forest2,
2,foxName,fox_normal,뭔데?,,right,,stage2_bgm,forest2,
3,진월,,여기 흔적이…,,,,stage2_bgm,forest2,
4,내레이션,,부러진 나무 몽둥이가 있다.,,,,stage2_bgm,forest2,나무로 되니 제사도구 아이템(전체화면X)
5,sound,BrokenWood,,,,hover,stage2_bgm,forest2,
6,내레이션,,퇴마 및 제사용 도구처럼 보였다.,,,,stage2_bgm,forest2,
7,foxName,fox_normal,무환자나무로군. 귀신을 쫓는 나무.,,center,,stage2_bgm,forest2,
8,진월,,예… 저희 사냥꾼들이 호신용으로 가지고 다니는 물건이에요.,,,,stage2_bgm,forest2,
9,foxName,fox_normal,도움은 되지 못했네.,,center,,stage2_bgm,forest2,
10,foxName,fox_normal,당연하겠지만.,,center,,stage2_bgm,forest2,
11,foxName,fox_normal,그깟 나무 하나로 요괴를 막을 수 있었다면`,,center,,stage2_bgm,forest2,
12,foxName,fox_normal,이런 고생을 할 이유가 없지.,,center,,stage2_bgm,forest2,
13,진월,,...,,,,stage2_bgm,forest2,
14,foxName,fox_normal,알고 있지?,,center,,stage2_bgm,forest2,
15,진월,,예…,,,,stage2_bgm,forest2,
16,foxName,fox_normal,뭐` 말은 그렇게 했다만.,,center,,stage2_bgm,forest2,
17,foxName,fox_normal,사냥꾼이란 것들은 질기고 독하니.,,center,,stage2_bgm,forest2,
18,foxName,fox_normal,그리 걱정 마.,,center,,stage2_bgm,forest2,
19,내레이션,,foxName의 뜻밖의 격려에 나는 생각했다.,,,,stage2_bgm,forest2,
20,내레이션,,그래! 선배들이 어떤 사람인데!,,,,stage2_bgm,forest2,
21,내레이션,,난 힘을 다해 나아갔다.,,,,stage2_bgm,forest2,
